anschrift_vor_google;anschrift_google;google_status;partial_match
winckelmannstrasse 74 b, 12178 berlin;Winckelmannstraße 74B, 12487 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
rodenbergstrasse 8, 10439 berlin;Rodenbergstraße 8, 10439 Berlin-Bezirk Pankow, Deutschland;OK;False
tangermünder strasse 7, 12627 berlin;Tangermünder Str. 7, 12627 Berlin, Deutschland;OK;False
seestrasse 54, 13347 berlin;Seestraße 54, 13347 Berlin, Deutschland;OK;False
rigaer strasse 8, 10247 berlin;Rigaer Str. 8, 10247 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
reinbeckstrasse 10, 12459 berlin;Reinbeckstraße 10, 12459 Berlin, Deutschland;OK;False
paderborner strasse 3, 10709 berlin;Paderborner Str. 3, 10709 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
stendaler strasse43, 12627 berlin;Stendaler Str. 43, 12627 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;True
stendaler strasse 43, 12627 berlin;Stendaler Str. 43, 12627 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
schiffbauerdamm 8, 10117 berlin;Schiffbauerdamm 8, 10117 Berlin, Deutschland;OK;False
lehderstrasse 42/43, 13086 berlin;Lehderstraße 42-43, 13086 Berlin-Bezirk Pankow, Deutschland;OK;False
perleberger strasse 27, 10559 berlin;Perleberger Str. 27, 10559 Berlin, Deutschland;OK;False
friesenstrasse 11, 10965 berlin;Friesenstraße 11, 10965 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
köpenicker strasse 9, 10997 berlin;Köpenicker Str. 9, 10997 Berlin, Deutschland;OK;False
alice-salomon-platz 5, 12627 berlin;Alice-Salomon-Platz 5, 12627 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
am sudhaus 2, 12053 berlin;Am Sudhaus 2, 12053 Berlin-Bezirk Neukölln, Deutschland;OK;False
soldiner strasse 92, 13359 berlin;Soldiner Str. 92, 13359 Berlin, Deutschland;OK;False
oberlandstrasse 26-35, 12099 berlin;Oberlandstraße 26-35, 12099 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
lohmühlenstrasse 65, 12435 berlin;Lohmühlenstraße 65, 12435 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
kottbusser damm 25 - 26, 10967 berlin;Kottbusser Damm 25/26, 10967 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
rübelandstrasse 9, 12053 berlin;Rübelandstraße 9, 12053 Berlin-Bezirk Neukölln, Deutschland;OK;False
'---';Deutschland;OK;False
europaplatz 2, 10557 berlin;Europaplatz 2, 10557 Berlin, Deutschland;OK;False
dahlemer weg 83 a, 14167 berlin;Dahlemer Weg 83A, 14167 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
stedingerweg 16, 10407 berlin;Stedingerweg 16, 10407 Berlin-Bezirk Pankow, Deutschland;OK;False
kurfürstendamm 178, 10707 berlin;Kurfürstendamm 178, 10707 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
friedrichsruher strasse 26, 14193 berlin;Friedrichsruher Str. 26, 14193 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
hirzbacher weg 13, 12249 berlin;Hirzbacher Weg 13, 12249 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
quellweg 23, 13629 berlin;Quellweg 23, 13629 Berlin-Bezirk Spandau, Deutschland;OK;False
c/o m. ritter danzigerstrasse 119, 10407 berlin;Danziger Str. 119, 10407 Berlin-Bezirk Pankow, Deutschland;OK;True
danzigerstrasse 119, 10407 berlin;Danziger Str. 119, 10407 Berlin-Bezirk Pankow, Deutschland;OK;False
schluchseestrasse 68, 13469 berlin;Schluchseestraße 68, 13469 Berlin-Bezirk Reinickendorf, Deutschland;OK;False
an der wuhlheide 263, 12555 berlin;An d. Wuhlheide 263, 12555 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
blissestrasse 20 b, 10713 berlin;Blissestraße 20B, 10713 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
strasse am schoelerpark 39, 10715 berlin;Str. am Schoelerpark 39, 10715 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
kolonnenstrasse 8, 10827 berlin;Kolonnenstraße 8, 10827 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
elsgrabenweg 25, 13587 berlin;Teltower Schanze, Elsgrabenweg 25, 13597 Berlin-Bezirk Spandau, Deutschland;OK;False
gallwitzallee 146, 12249 berlin;Gallwitzallee 146, 12249 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
greizer strasse 2, 12279 berlin;Greizer Str. 2, 12279 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
nordmannzeile 7, 12157 berlin;Nordmannzeile 7, 12157 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
altmarkstrasse 26, 12169 berlin;Altmarkstraße 26, 12169 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
jungfernstieg 27e, 12207 berlin;Jungfernstieg 27E, 12207 Berlin, Deutschland;OK;False
postfach 20 02 19, 13512 berlin;Berlin, Deutschland;OK;True
postfach 200219, 13512 berlin;Berlin, Deutschland;OK;True
eisenacher strasse 125, 12685 berlin;Eisenacher Str. 125, 12685 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
tschudistrasse 25, 12621 berlin;Tschudistraße 25, 12621 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
eisenacher strasse 125 , 12685 berlin;Eisenacher Str. 125, 12685 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
eisenacher strasse 24, 12685 berlin;Eisenacher Str. 24, 12629 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
lichterfelder ring 111, 12279 berlin;Lichterfelder Ring 111, 12279 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
möwenweg 12 a, 12683 berlin;Möwenweg 12A, 12683 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
schliemannstrasse 33, 10437 berlin;Schliemannstraße 33, 10437 Berlin-Bezirk Pankow, Deutschland;OK;False
johannisberger strasse 10, 14197 berlin;Johannisberger Str. 10, 14197 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
johannisbergerstrasse 10, 14197 berlin;Johannisberger Str. 10, 14197 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
cottbusser strasse 82, 12627 berlin;Cottbusser Str. 82, 12627 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
bismarckstrasse 10-12, 10625 berlin;Bismarckstraße 10-12, 10625 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
joachimsthaler strasse 12, 10719 berlin;Joachimsthaler Str. 12, 10719 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
hamerlingweg 5, 14167 berlin;Hamerlingweg 5, 14167 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
winsstrasse 13, 10405 berlin;Winsstraße 13, 10405 Berlin-Bezirk Pankow, Deutschland;OK;False
choriner strasse 63, 10435 berlin;Choriner Str. 63, 10435 Berlin-Bezirk Pankow, Deutschland;OK;False
boxhagener strasse 57, 10245 berlin;Boxhagener Str. 57, 10245 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
knaackstrasse 97, 10435 berlin;Knaackstraße 97, 10435 Berlin-Bezirk Pankow, Deutschland;OK;False
rudi-dutschke-strasse 29, 10969 berlin;Rudi-Dutschke-Straße 29, 10969 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
baltrumstrasse 43, 13127 berlin;Baltrumstraße 43, 13127 Berlin-Bezirk Pankow, Deutschland;OK;False
wolfener strasse 25, 12681 berlin;Wolfener Str. 25, 12681 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
bötzowstrasse 15, 10407 berlin;Bötzowstraße 15, 10407 Berlin-Bezirk Pankow, Deutschland;OK;False
c/o bum, paul-lincke-ufer 21, 10999 berlin;Paul-Lincke-Ufer 21, 10999 Berlin, Deutschland;OK;True
schlesische strasse 27, 10997 berlin;Schlesische Str. 27, 10997 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
okerstrasse 3, 12049 berlin;Okerstraße 3, 12049 Berlin-Bezirk Neukölln, Deutschland;OK;False
sonnenburger strasse 64, 10437 berlin;Sonnenburger Str. 64, 10437 Berlin-Bezirk Pankow, Deutschland;OK;False
sonnenburgerstrasse 64, 10437 berlin;Sonnenburger Str. 64, 10437 Berlin-Bezirk Pankow, Deutschland;OK;False
kreuzbergstrasse 29, 10965 berlin;Kreuzbergstraße 29, 10965 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
lehrter strasse 35, 10557 berlin;Lehrter Str. 35, 10557 Berlin, Deutschland;OK;False
ehrenbergstrasse 2, 10245 berlin;Ehrenbergstraße 2, 10245 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
am flutgraben 3, 12435 berlin;Am Flutgraben 3, 12435 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
magnusstrasse 11, 12489 berlin;Magnusstraße 11, 12489 Berlin, Deutschland;OK;False
geisbergstrasse 16, 10777 berlin;Geisbergstraße 16, 10777 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
pariser platz 6a, 10117 berlin;10117, Pariser Platz 6a, 10117 Berlin, Deutschland;OK;False
stubbenkammerstrasse 7, 10437 berlin;Stubbenkammerstraße 7, 10437 Berlin-Bezirk Pankow, Deutschland;OK;False
choriner strasse 57, 10435 berlin;Choriner Str. 57, 10435 Berlin-Bezirk Pankow, Deutschland;OK;False
heerstrasse 2, 14052 berlin;Heerstraße 2, 14052 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
am pfingstberg 20, 13467 berlin;Am Pfingstberg 20, 13467 Berlin, Deutschland;OK;False
gotenstrasse 24, 10829 berlin;Gotenstraße 24, 10829 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
auguststrasse 51, 10119 berlin;Auguststraße 51, 10119 Berlin, Deutschland;OK;False
eichhorster weg 33, 13435 berlin;Eichhorster Weg 33, 13435 Berlin-Bezirk Reinickendorf, Deutschland;OK;False
fehrbelliner strasse 14, 13585 berlin;Fehrbelliner Str. 14, 13585 Berlin-Bezirk Spandau, Deutschland;OK;False
köpenicker strasse 9 a, 10997 berlin;Köpenicker Str. 9A, 10997 Berlin, Deutschland;OK;False
köpenicker strasse 9a, 10997 berlin;Köpenicker Str. 9A, 10997 Berlin, Deutschland;OK;False
tschaikowskistrasse 56, 13156 berlin;Tschaikowskistraße 56, 13156 Berlin-Bezirk Pankow, Deutschland;OK;False
hermannstrasse 138, 12051 berlin;Hermannstraße 138, 12051 Berlin-Bezirk Neukölln, Deutschland;OK;False
bouchestrasse 12, 12435 berlin;Bouchéstraße 12, 12435 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
am bahnhof westend 10 -11, 14059 berlin;Am bhf Westend 10/11, 14059 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
gustav-meyer-allee 25, 13355 berlin;Gustav-Meyer-Allee 25, 13355 Berlin, Deutschland;OK;False
rudower strasse 183a, 12351 berlin;Rudower Str. 183 A, 12351 Berlin-Bezirk Neukölln, Deutschland;OK;False
friedrichstrasse 95, 10117 berlin;Friedrichstraße 95, 10117 Berlin, Deutschland;OK;False
am priesterberg, 13465 berlin;Am Priesterberg, 13465 Berlin-Bezirk Reinickendorf, Deutschland;OK;False
bouchéstrasse 12, 12435 berlin;Bouchéstraße 12, 12435 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
c/o motionlab. berlin, bouchestrasse 12 (halle 20), 12435 berlin;Bouchéstraße 12/Halle 20, 12435 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;True
auguststrasse 27, 10117 berlin;Auguststraße 27, 10117 Berlin, Deutschland;OK;False
aroser allee 84, 13407 berlin;Aroser Allee 84, 13407 Berlin-Bezirk Reinickendorf, Deutschland;OK;False
tulpenstrasse 5, 12203 berlin;Tulpenstraße 5, 12203 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
marienbader strasse 11, 14199 berlin;Marienbader Str. 11, 14199 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
dudenstrasse 17, 10965 berlin;Dudenstraße 17, 12101 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
barbarossastrasse 39, 10779 berlin;Barbarossastraße 39, 10779 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
regattastrasse 232, 12527 berlin;Regattastraße 232, 12527 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
prinzessinnenstrasse 1, 10969 berlin;Prinzessinnenstraße 1, 10969 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
prinzessinenstrasse 1, 10969 berlin;Prinzessinnenstraße 1, 10969 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
hoffmannstrasse 19, 12489 berlin;Hoffmannstraße 19, 12489 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
schichauweg 52, 12307 berlin;Schichauweg 52, 12307 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
marzahner promenade 47, 12679 berlin;Parkplatz, Marzahner Promenade 47, 12679 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
colditzstrasse 33, 12099 berlin;Colditzstraße 33, 12099 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
finowstrasse 25, 10247 berlin;Finowstraße 25, 10247 Berlin, Deutschland;OK;False
mehringdamm 55, 10961 berlin;Mehringdamm 55, 10961 Berlin, Deutschland;OK;False
frankfurter allee 14, 10247 berlin;Frankfurter Allee 14, 10247 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
knesebeckstrasse 59-61, 10719 berlin;Knesebeckstraße 59-61, 10719 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
strasse der pariser kommune 12-16, 10243 berlin;Str. der Pariser Kommune 12-16, 10243 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
danckelmannstrasse 34, 14059 berlin;Danckelmannstraße 34, 14059 Berlin, Deutschland;OK;False
bredowstrasse 35a, 10551 berlin;Bredowstraße 35A, 10551 Berlin, Deutschland;OK;False
weinmeisterhornweg 170c, 13593 berlin;Weinmeisterhornweg 170C, 13593 Berlin, Deutschland;OK;False
kleiststrasse 26b, 14163 berlin;Kleiststraße 26B, 14163 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
kleiststrasse 26 b, 14163 berlin;Kleiststraße 26B, 14163 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
schönhauser allee 163, 10435 berlin;Schönhauser Allee 163, 10435 Berlin-Bezirk Pankow, Deutschland;OK;False
dresdener strasse 31, 10179 berlin;Dresdener Str. 31, 10179 Berlin, Deutschland;OK;False
pascalstrasse 10, 10587 berlin;Pascalstraße 10, 10587 Berlin, Deutschland;OK;False
methfesselstrasse 50, 10557 berlin;Methfesselstraße 50, 10965 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
pankstrasse 8, 13127 berlin;Pankstraße 8, 13127 Berlin-Bezirk Pankow, Deutschland;OK;False
rudower chaussee 29, 12489 berlin;Rudower Ch 29, 12489 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
schudomastrasse 32, 12055 berlin;Schudomastraße 32, 12055 Berlin-Bezirk Neukölln, Deutschland;OK;False
alt-stralau 32 c, 10245 berlin;Alt-Stralau 32c, 10245 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
karl-marx-allee 92, 10243 berlin;Karl-Marx-Allee 92, 10243 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
damaschkestrasse 28, 10711 berlin;Damaschkestraße 28, 10711 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
bülowstrasse 56 - 57, 10783 berlin;Bülowstraße 56/57, 10783 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
gartenstrasse 111, 10115 berlin;Gartenstraße 111, 10115 Berlin, Deutschland;OK;False
westendallee 92f, 14052 berlin;Westendallee 92F, 14052 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
reinhardtstrasse 47 a, 10117 berlin;Reinhardtstraße 47 a, 10117 Berlin, Deutschland;OK;False
reinhardtstrasse 47a, 10117 berlin;Reinhardtstraße 47 a, 10117 Berlin, Deutschland;OK;False
schönhauser allee 177 b, 10119 berlin;Schönhauser Allee 177B, 10119 Berlin, Deutschland;OK;False
friedrich-junge-strasse 29, 10245 berlin;Friedrich-Junge-Straße 29, 10245 Berlin, Deutschland;OK;False
königsberger strasse 6, 01324 dresden;Königsberger Str. 6, 01324 Dresden-Dresdner Heide, Deutschland;OK;False
scharnhorststrasse 28c, 10115 berlin;Scharnhorststraße 28c, 10115 Berlin, Deutschland;OK;False
köpenicker strasse 100, 10179 berlin;Köpenicker Str. 100, 10179 Berlin, Deutschland;OK;False
prenzlauer allee 36 g, 10405 berlin;Frankonia-Höfe, Prenzlauer Allee 36 G, 10405 Berlin-Bezirk Pankow, Deutschland;OK;False
schönhauser allee 177b, 10119 berlin;Schönhauser Allee 177B, 10119 Berlin, Deutschland;OK;False
wöhlertstrasse 4, 10115 berlin;Wöhlertstraße 4, 10115 Berlin, Deutschland;OK;False
treskowallee 62, 10318 berlin;Treskowallee 62, 10318 Berlin-Bezirk Lichtenberg, Deutschland;OK;False
brunnenstrasse 153, 10115 berlin;Brunnenstraße 153, 10115 Berlin, Deutschland;OK;False
rudelsburgstrasse 27, 13129 berlin;Rudelsburgstraße 27, 13129 Berlin-Bezirk Pankow, Deutschland;OK;False
klausenerplatz 19, 14059 berlin;Klausenerpl. 19, 14059 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
schustehrhusstrasse 29, 10585 berlin;Schustehrusstraße 29, 10585 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;True
schustehrusstrasse 29, 10585 berlin;Schustehrusstraße 29, 10585 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
lenther steig 19, 13629 berlin;Lenther Steig 19, 13629 Berlin-Bezirk Spandau, Deutschland;OK;False
nollendorf strasse 19, 10777 berlin;Nollendorfstraße 19, 10777 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
dessauer strasse 28-29, 10963 berlin;Dessauer Str. 28-29, 10963 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
oranienstrasse 6, 10997 berlin;Oranienstraße 6, 10997 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
schinkestrasse 9, 12047 berlin;Schinkestraße 9, 12047 Berlin, Deutschland;OK;False
schöneberger strasse 13, 10963 berlin;Schöneberger Str. 13, 10963 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
urbanstrasse 93, 10967 berlin;Urbanstraße 93, 10967 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
reinhardtstrasse 17, 10117 berlin;Reinhardtstraße 17, 10117 Berlin, Deutschland;OK;False
lessingstrasse 89, 13158 berlin;Lessingstraße 89, 13158 Berlin-Bezirk Pankow, Deutschland;OK;False
lessingstrasse 79, 13158 berlin;Lessingstraße 79, 13158 Berlin-Bezirk Pankow, Deutschland;OK;False
karl-marx-strasse 255, 12057 berlin;Karl-Marx-Straße 255, 12057 Berlin-Bezirk Neukölln, Deutschland;OK;False
bertha-benz-strasse 5, 10557 berlin;Bertha-Benz-Straße 5, 10557 Berlin, Deutschland;OK;False
kronberger strasse 12, 14193 berlin;Kronberger Str. 12, 14193 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
boyenstrasse 40, 40, 10115 berlin;Boyenstraße 40/40, 10115 Berlin, Deutschland;OK;False
holzmarktstrasse 55, 10178 berlin;Holzmarktstraße 55, 10179 Berlin, Deutschland;OK;False
kaiser-friedrich-strasse 7, 10585 berlin;Kaiser-Friedrich-Straße 7, 10585 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
pettenkoferstrasse 32, 10247 berlin;Pettenkoferstraße 32, 10247 Berlin, Deutschland;OK;False
markgrafendamm 24c, 10245 berlin;Markgrafendamm 24c, 10245 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
kleine präsidentenstrasse 1, 10178 berlin;Kleine Präsidentenstraße 1, 10178 Berlin, Deutschland;OK;False
gürtelstrasse 35, 10247 berlin;Gürtelstraße 35, 10247 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
okerstrasse 44, 12049 berlin;Okerstraße 44, 12049 Berlin-Bezirk Neukölln, Deutschland;OK;False
unter den linden 21, 10707 berlin;Unter den Linden 21, 10117 Berlin, Deutschland;OK;False
motzstrasse 63, 10777 berlin;Motzstraße 63, 10777 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
gottlieb-dunkel-strasse 25, 12099 berlin;Gottlieb-Dunkel-Straße 25, 12099 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
gneisenaustrasse / mehringhof 2 a, 10961 berlin;Gneisenaustraße 2A, 10961 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;True
blumenthalstrasse 30, 13156 berlin;Blumenthalstraße 30, 13156 Berlin-Bezirk Pankow, Deutschland;OK;False
storkower strasse 139 b, 10407 berlin;Storkower Str. 139B, 10407 Berlin, Deutschland;OK;False
beilsteiner strasse 118, 12681 berlin;Beilsteiner Str. 118, 12681 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland;OK;False
sophie-charlotten-strasse 83a, 14059 berlin;Sophie-Charlotten-Straße 83A, 14059 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
kaiserdamm 27, 14057 berlin;Kaiserdamm 27, 14057 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
am treptower park 44, 12435 berlin;Am Treptower Park 44, 12435 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
brunsbütteler damm 450, 13591 berlin;Brunsbütteler Damm 450, 13591 Berlin-Bezirk Spandau, Deutschland;OK;False
werbellinstrasse 48, 12053 berlin;Werbellinstraße 48, 12053 Berlin, Deutschland;OK;False
lubminer strasse 39, 12619 berlin;Lubminer Str. 39, 12619 Berlin, Deutschland;OK;False
mindener strasse 6, 10589 berlin;Mindener Str. 6, 10589 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
ewaldstrasse 51, 12524 berlin;Ewaldstraße 51, 12524 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
robert-rössle-strasse 10, 13125 berlin;Robert-Rössle-Straße 10, 13125 Berlin-Bezirk Pankow, Deutschland;OK;False
robert-rössle-strasse 10, haus 79, 13125 berlin;Robert-Rössle-Straße 10/haus 79, 13125 Berlin-Bezirk Pankow, Deutschland;OK;False
robert-rössle-strasse 10 (haus d79), 13125 berlin;Robert-Rössle-Straße 10/haus d79, 13125 Berlin-Bezirk Pankow, Deutschland;OK;False
karolinenplatz 4, 80333 münchen;Karolinenpl. 4, 80333 München-Maxvorstadt, Deutschland;OK;False
rosenstrasse 17, 10178 berlin;Rosenstraße 17, 10178 Berlin, Deutschland;OK;False
dörpfeldstrasse 34, 12489 berlin;Dörpfeldstraße 34, 12489 Berlin-Bezirk Treptow-Köpenick, Deutschland;OK;False
rennesstrasse 5, 13127 berlin;Rennesstraße 5, 13127 Berlin, Deutschland;OK;False
halberstädter strasse 6, 10711 berlin;Halberstädter Str. 6, 10711 Berlin-Bezirk Charlottenburg-Wilmersdorf, Deutschland;OK;False
hedemannstrasse 13, 10969 berlin;Hedemannstraße 13, 10969 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland;OK;False
schmidener strasse 227 , 70374 stuttgart;Schmidener Str. 227, 70374 Stuttgart-Bad Cannstatt, Deutschland;OK;False
schmidener strasse 227, 70374 stuttgart;Schmidener Str. 227, 70374 Stuttgart-Bad Cannstatt, Deutschland;OK;False
karl-liebknecht strasse 33, 10115 berlin;Karl-Liebknecht-Str. 33, 10178 Berlin, Deutschland;OK;False
kadettenweg 53, 12205 berlin;Kadettenweg 53, 12205 Berlin-Bezirk Steglitz-Zehlendorf, Deutschland;OK;False
ebersweiler strasse 10, 10437 berlin;10437 Berlin-Bezirk Pankow, Deutschland;OK;True
eberswalder strasse 10, 10437 berlin;Eberswalder Str. 10, 10437 Berlin-Bezirk Pankow, Deutschland;OK;False
greifenhagener strasse 12, 10437 berlin;Greifenhagener Str. 12, 10437 Berlin-Bezirk Pankow, Deutschland;OK;False
greifenhagenerstrasse 12, 10437 berlin;Greifenhagener Str. 12, 10437 Berlin-Bezirk Pankow, Deutschland;OK;False
bessemer strasse 2-14, 12103 berlin;Bessemerstraße 2-14, 12103 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
bessemerstrasse 2 - 14, 12103 berlin;Bessemerstraße 2/14, 12103 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland;OK;False
